Category,Wine Name,Region,Glass Price,Bottle Price
Red,Stemmari Pinot Noir,Italy,$12,$46
Red,Meiomi Pinot Noir,California,$13,$50
Red,Alexana Pinot Noir,Oregon,,$70
Red,Craggy Range Pinot Noir,New Zealand,$15,$56
Red,Ruffino Chianti,Italy,$10,$38
Red,Banfi Chianti Classico Riserva,Italy,$15,$56
Red,McManis Merlot,California,$11,$42
Red,Trivento Malbec Select,Argentina,$10,$38
Red,Dreaming Tree Red Blend,California,$14,$52
Red,Lunaria Coste de Moro Montepulciano,Italy,$13,$50
Red,The Prisoner Red Blend,California,,$85
Red,7 Deadly Zins Zinfandel,California,$13,$50
Red,Robert Mondavi Private Selection Cabernet Sauvignon,California,$11,$42
Red,Simple Life Cabernet Sauvignon,California,$12,$46
Red,Simi Cabernet Sauvignon,California,$15,$56
Red,Unshackled Cabernet Sauvignon,California,$15,$56
Red,ASKA Bolgheri Rosso (Cabernet Sauvigon),Italy,,$70
Red,Cakebread Cellars Cabernet Sauvignon,California,,$129
Red,Banfi Brunello di Montalcino,Italy,,$110
White,Mezzacorona Pinot Grigio,Italy,$9,$34
White,San Angelo Pinot Grigio,Italy,$12,$46
White,Ava Grace Sauvignon Blanc,California,$8,$30
White,Kim Crawford Sauvignon Blanc,New Zealand,$12,$46
White,Banfi La Pettagola Vermentino,Italy,$12,$46
White,Pacific Rim Riesling,Washington,$11,$44
White,Movendo Moscato,Italy,$11,$42
White,St Francis Chardonnay,California,$10,$38
White,SIMI Chardonnay,California,$12,$46
White,Sonoma-Cutrer Chardonnay,California,$14,$52
White,Centine Rosé,Italy,$12,$46
White,Maschio Prosecco Brut,Italy,$9 (Split),
White,Ruffino Prosecco,Italy,,$40
White,Korbel Brut,California,$12 (Split),$46